Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,Afghanistan,02/03/2021 5:23,33.93911,67.709953,55733,2444,49344,3945,Afghanistan,143.1681869,4.385193691
,Albania,02/03/2021 5:23,41.1533,20.1683,107931,1816,70413,35702,Albania,3750.469108,1.682556448
,Algeria,02/03/2021 5:23,28.0339,1.6596,113255,2987,78234,32034,Algeria,258.272078,2.637411152
,Andorra,02/03/2021 5:23,42.5063,1.5218,10889,110,10475,304,Andorra,14093.05636,1.010193774
,Angola,02/03/2021 5:23,-11.2027,17.8739,20854,508,19400,946,Angola,63.45107391,2.435983504
,Antigua and Barbuda,02/03/2021 5:23,17.0608,-61.7964,769,14,307,448,Antigua and Barbuda,785.2708112,1.820546164
,Argentina,02/03/2021 5:23,-38.4161,-63.6167,2112023,52077,1911338,148608,Argentina,4673.053856,2.465740193
,Armenia,02/03/2021 5:23,40.0691,45.0382,172216,3195,163511,5510,Armenia,5811.758369,1.855228318
Australian Capital Territory,Australia,02/03/2021 5:23,-35.4735,149.0124,118,3,115,0,"Australian Capital Territory, Australia",27.56365335,2.542372881
New South Wales,Australia,02/03/2021 5:23,-33.8688,151.2093,5183,54,0,5129,"New South Wales, Australia",63.84577482,1.041867644
Northern Territory,Australia,02/03/2021 5:23,-12.4634,130.8456,105,0,103,2,"Northern Territory, Australia",42.752443,0
Queensland,Australia,02/03/2021 5:23,-27.4698,153.0251,1335,6,1313,16,"Queensland, Australia",26.0971557,0.449438202
South Australia,Australia,02/03/2021 5:23,-34.9285,138.6007,617,4,610,3,"South Australia, Australia",35.12667236,0.648298217
Tasmania,Australia,02/03/2021 5:23,-42.8821,147.3272,234,13,221,0,"Tasmania, Australia",43.69747899,5.555555556
Victoria,Australia,02/03/2021 5:23,-37.8136,144.9631,20481,820,19651,10,"Victoria, Australia",308.9186866,4.003710756
Western Australia,Australia,02/03/2021 5:23,-31.9505,115.8605,913,9,901,3,"Western Australia, Australia",34.70691097,0.985761227
,Austria,02/03/2021 5:23,47.5162,14.5501,460849,8574,432016,20259,Austria,5116.905756,1.860479246
,Azerbaijan,02/03/2021 5:23,40.1431,47.5769,234662,3223,228839,2600,Azerbaijan,2314.40921,1.373464813
,Bahamas,02/03/2021 5:23,25.025885,-78.035889,8519,179,7309,1031,Bahamas,2166.317438,2.101185585
,Bahrain,02/03/2021 5:23,26.0275,50.55,123039,452,115895,6692,Bahrain,7230.855033,0.367363194
,Bangladesh,02/03/2021 5:23,23.685,90.3563,546801,8416,497797,40588,Bangladesh,332.0195814,1.539133981
,Barbados,02/03/2021 5:23,13.1939,-59.5432,3115,36,2443,636,Barbados,1083.964631,1.155698234
,Belarus,02/03/2021 5:23,53.7098,27.9534,288267,1985,278661,7621,Belarus,3050.66364,0.688597724
Antwerp,Belgium,02/03/2021 5:23,51.2195,4.4024,97183,0,0,97183,"Antwerp, Belgium",5230.556097,0
Brussels,Belgium,02/03/2021 5:23,50.8503,4.3517,95502,0,0,95502,"Brussels, Belgium",7902.249156,0
East Flanders,Belgium,02/03/2021 5:23,51.0362,3.7373,83625,0,0,83625,"East Flanders, Belgium",5519.56881,0
Flemish Brabant,Belgium,02/03/2021 5:23,50.9167,4.5833,59596,0,0,59596,"Flemish Brabant, Belgium",5199.555042,0
Hainaut,Belgium,02/03/2021 5:23,50.5257,4.0621,116617,0,0,116617,"Hainaut, Belgium",8675.304503,0
Liege,Belgium,02/03/2021 5:23,50.4496,5.8492,105539,0,0,105539,"Liege, Belgium",9533.853903,0
Limburg,Belgium,02/03/2021 5:23,50.9739,5.342,38469,0,0,38469,"Limburg, Belgium",4401.245698,0
Luxembourg,Belgium,02/03/2021 5:23,50.0547,5.4677,21894,0,0,21894,"Luxembourg, Belgium",7691.875294,0
Namur,Belgium,02/03/2021 5:23,50.331,4.8221,40451,0,0,40451,"Namur, Belgium",8183.077935,0
Unknown,Belgium,02/03/2021 5:23,,,14234,22106,0,-7872,"Unknown, Belgium",,155.3042012
Walloon Brabant,Belgium,02/03/2021 5:23,50.4,4.35,30016,0,0,30016,"Walloon Brabant, Belgium",7437.084829,0
West Flanders,Belgium,02/03/2021 5:23,51.0536,3.1458,69168,0,0,69168,"West Flanders, Belgium",5784.264206,0
,Belize,02/03/2021 5:23,17.1899,-88.4976,12313,315,11860,138,Belize,3096.66743,2.558271745
,Benin,02/03/2021 5:23,9.3077,2.3158,5434,70,4248,1116,Benin,44.8231564,1.288185499
,Bhutan,02/03/2021 5:23,27.5142,90.4336,867,1,865,1,Bhutan,112.3621717,0.115340254
,Bolivia,02/03/2021 5:23,-16.2902,-63.5887,249767,11666,193652,44449,Bolivia,2139.693134,4.670753142
