Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
Yamanashi,Japan,02/04/2021 4:20,35.612364,138.611489,983,19,938,26,"Yamanashi, Japan",121.2149611,1.932858596
,Jordan,02/04/2021 4:20,31.24,36.51,618059,6940,520498,90621,Jordan,6057.53719,1.122870147
,Kazakhstan,02/04/2021 4:20,48.0196,66.9237,299626,5912,269765,26627,Kazakhstan,1595.732415,1.079345584
,Kenya,02/04/2021 4:20,-0.0236,37.9062,135042,2167,93067,39808,Kenya,251.1414081,1.60468595
,"Korea, South",02/04/2021 4:20,35.907757,127.766922,104194,1737,95861,6596,"Korea, South",203.2292966,1.667082558
,Kosovo,02/04/2021 4:20,42.602636,20.902977,91079,1892,75850,13337,Kosovo,5030.971638,2.077317494
,Kuwait,02/04/2021 4:20,29.31166,47.481766,233521,1319,217873,14329,Kuwait,5468.154901,0.564831428
,Kyrgyzstan,02/04/2021 4:20,41.20438,74.766098,88538,1500,84897,2141,Kyrgyzstan,1357.072471,1.694187806
,Laos,02/04/2021 4:20,19.85627,102.495496,49,0,45,4,Laos,0.673488047,0
,Latvia,02/04/2021 4:20,56.8796,24.6032,103001,1913,93631,7457,Latvia,5460.761891,1.857263522
,Lebanon,02/04/2021 4:20,33.8547,35.8623,471962,6286,373833,91843,Lebanon,6914.746327,1.331886889
,Lesotho,02/04/2021 4:20,-29.61,28.2336,10706,315,4471,5920,Lesotho,499.754464,2.94227536
,Liberia,02/04/2021 4:20,6.428055,-9.429499,2042,85,1899,58,Liberia,40.37426668,4.1625857
,Libya,02/04/2021 4:20,26.3351,17.228331,159980,2680,147864,9436,Libya,2328.239237,1.675209401
,Liechtenstein,02/04/2021 4:20,47.14,9.55,2675,56,2571,48,Liechtenstein,7014.185699,2.093457944
,Lithuania,02/04/2021 4:20,55.1694,23.8813,217005,3583,199767,13655,Lithuania,7971.410845,1.65111403
,Luxembourg,02/04/2021 4:20,49.8153,6.1296,61881,749,57366,3766,Luxembourg,9885.522768,1.21038768
,MS Zaandam,02/04/2021 4:20,,,9,2,7,0,MS Zaandam,,22.22222222
,Madagascar,02/04/2021 4:20,-18.766947,46.869107,24696,433,22132,2131,Madagascar,89.18415028,1.753320376
,Malawi,02/04/2021 4:20,-13.2543,34.3015,33584,1118,30379,2087,Malawi,175.5571302,3.328966174
,Malaysia,02/04/2021 4:20,4.210484,101.975766,346678,1278,331001,14399,Malaysia,1071.117906,0.368641794
,Maldives,02/04/2021 4:20,3.2028,73.2207,24379,67,21282,3030,Maldives,4510.102823,0.274826695
,Mali,02/04/2021 4:20,17.570692,-3.996166,10199,386,6863,2950,Mali,50.36335787,3.784684773
,Malta,02/04/2021 4:20,35.9375,14.3754,29085,394,27951,740,Malta,6587.187089,1.354650163
,Marshall Islands,02/04/2021 4:20,7.1315,171.1845,4,0,4,0,Marshall Islands,6.847790732,0
,Mauritania,02/04/2021 4:20,21.0079,-10.9408,17878,449,17125,304,Mauritania,384.5012323,2.511466607
,Mauritius,02/04/2021 4:20,-20.348404,57.552152,1039,12,645,382,Mauritius,81.69735494,1.154956689
Aguascalientes,Mexico,02/04/2021 4:20,21.8853,-102.2916,24931,2158,0,22773,"Aguascalientes, Mexico",1737.793934,8.655890257
Baja California,Mexico,02/04/2021 4:20,30.8406,-115.2838,46452,7799,0,38653,"Baja California, Mexico",1277.955623,16.78937398
Baja California Sur,Mexico,02/04/2021 4:20,26.0444,-111.6661,28417,1273,0,27144,"Baja California Sur, Mexico",3531.343046,4.479712848
Campeche,Mexico,02/04/2021 4:20,19.8301,-90.5349,8971,1128,0,7843,"Campeche, Mexico",896.5468306,12.57384907
Chiapas,Mexico,02/04/2021 4:20,16.7569,-93.1292,10462,1485,0,8977,"Chiapas, Mexico",182.5712036,14.19422673
Chihuahua,Mexico,02/04/2021 4:20,28.633,-106.0691,46533,5597,0,40936,"Chihuahua, Mexico",1224.073632,12.02802312
Ciudad de Mexico,Mexico,02/04/2021 4:20,19.4326,-99.1332,610654,30605,0,580049,"Ciudad de Mexico, Mexico",6771.017154,5.011839765
Coahuila,Mexico,02/04/2021 4:20,27.0587,-101.7068,66719,5874,0,60845,"Coahuila, Mexico",2072.842621,8.80408879
Colima,Mexico,02/04/2021 4:20,19.1223,-104.0072,10827,1142,0,9685,"Colima, Mexico",1378.966902,10.54770481
Durango,Mexico,02/04/2021 4:20,24.5593,-104.6588,32354,2271,0,30083,"Durango, Mexico",1731.089847,7.019224825
Guanajuato,Mexico,02/04/2021 4:20,21.019,-101.2574,127898,9994,0,117904,"Guanajuato, Mexico",2053.538958,7.814039313
Guerrero,Mexico,02/04/2021 4:20,17.4392,-99.5451,37766,4090,0,33676,"Guerrero, Mexico",1032.690848,10.82984695
Hidalgo,Mexico,02/04/2021 4:20,20.0911,-98.7624,36719,5859,0,30860,"Hidalgo, Mexico",1189.697818,15.95631689
Jalisco,Mexico,02/04/2021 4:20,20.6595,-103.3494,82746,11374,0,71372,"Jalisco, Mexico",983.9360367,13.74567955
Mexico,Mexico,02/04/2021 4:20,19.4969,-99.7233,234161,31648,0,202513,"Mexico, Mexico",1343.606963,13.51548721
Michoacan,Mexico,02/04/2021 4:20,19.5665,-101.7068,45343,5105,0,40238,"Michoacan, Mexico",939.6732002,11.25862867
Morelos,Mexico,02/04/2021 4:20,18.6813,-99.1013,30257,2762,0,27495,"Morelos, Mexico",1480.241754,9.12846614
Nayarit,Mexico,02/04/2021 4:20,21.7514,-104.8455,11332,1740,0,9592,"Nayarit, Mexico",879.4237958,15.35474762
Nuevo Leon,Mexico,02/04/2021 4:20,25.5922,-99.9962,120006,9041,0,110965,"Nuevo Leon, Mexico",2139.086046,7.533789977
Oaxaca,Mexico,02/04/2021 4:20,17.0732,-96.7266,43658,3244,0,40414,"Oaxaca, Mexico",1053.626647,7.430482386
Puebla,Mexico,02/04/2021 4:20,19.0414,-98.2063,78568,10291,0,68277,"Puebla, Mexico",1189.621969,13.09820792
Queretaro,Mexico,02/04/2021 4:20,20.5888,-100.3899,64593,3885,0,60708,"Queretaro, Mexico",2833.477435,6.014583624
Quintana Roo,Mexico,02/04/2021 4:20,19.1817,-88.4791,21340,2502,0,18838,"Quintana Roo, Mexico",1238.351287,11.72446111
San Luis Potosi,Mexico,02/04/2021 4:20,22.1565,-100.9855,60350,4999,0,55351,"San Luis Potosi, Mexico",2105.617935,8.283347142
